table	source	reason	form	lemma
AG	ag_lookup.json	final_elision_mark	Φερσεφόνεια`	Φερσεφόνεια`
AG	ag_lookup.json	final_elision_mark	αὐτῇ`	αὐτῇ`
AG	ag_lookup.json	final_elision_mark	αυθ᾽	αὖθ᾽
AG	ag_lookup.json	final_elision_mark	αύθ᾽	αὖθ᾽
AG	ag_lookup.json	final_elision_mark	αὖθ᾽	αὖθ᾽
AG	ag_lookup.json	final_elision_mark	αυτ᾿	αὖτ᾿
AG	ag_lookup.json	final_elision_mark	αύτ᾿	αὖτ᾿
AG	ag_lookup.json	final_elision_mark	αὖτ᾿	αὖτ᾿
AG	ag_lookup.json	final_elision_mark	β̓	β᾽
AG	ag_lookup.json	final_elision_mark	γλαυκ᾽	γλαῦκ᾽
AG	ag_lookup.json	final_elision_mark	γλαύκ᾽	γλαῦκ᾽
AG	ag_lookup.json	final_elision_mark	γλαῦκ᾽	γλαῦκ᾽
AG	ag_lookup.json	final_elision_mark	γ᾽	γ᾽
AG	ag_lookup.json	final_elision_mark	δήπου’	δήπου’
AG	ag_lookup.json	final_elision_mark	δ᾽	δ᾽
AG	ag_lookup.json	final_elision_mark	εἰθ’	εἰθ’
AG	ag_lookup.json	final_elision_mark	εἶ’	εἶ’
AG	ag_lookup.json	final_elision_mark	ζ̓	ζ᾽
AG	ag_lookup.json	final_elision_mark	θάνατοσ’	θάνατοσ’
AG	ag_lookup.json	final_elision_mark	θ᾿	θ᾿
AG	ag_lookup.json	final_elision_mark	λύχνοιδ’	λύχνοιδ’
AG	ag_lookup.json	final_elision_mark	μάλ᾿	μάλ᾿
AG	ag_lookup.json	final_elision_mark	μαλ᾿	μάλ᾿
AG	ag_lookup.json	final_elision_mark	μεγάλῃ’	μέγῃ’
AG	ag_lookup.json	final_elision_mark	μεθ᾽	μεθ᾽
AG	ag_lookup.json	final_elision_mark	μηδ᾽	μηδ᾽
AG	ag_lookup.json	final_elision_mark	ν̓	ν᾽
AG	ag_lookup.json	final_elision_mark	τοιᾳδὶ	οιᾳδ᾽
AG	ag_lookup.json	final_elision_mark	οί᾽	οἷ᾽
AG	ag_lookup.json	final_elision_mark	οι᾽	οἷ᾽
AG	ag_lookup.json	final_elision_mark	οἷ᾽	οἷ᾽
AG	ag_lookup.json	final_elision_mark	ουδ᾽	οὐδ᾽
AG	ag_lookup.json	final_elision_mark	οὐδ᾽	οὐδ᾽
AG	ag_lookup.json	final_elision_mark	ουθ᾽	οὔθ᾽
AG	ag_lookup.json	final_elision_mark	ούθ᾽	οὔθ᾽
AG	ag_lookup.json	final_elision_mark	οὔθ᾽	οὔθ᾽
AG	ag_lookup.json	final_elision_mark	παρ᾽	παρ᾽
AG	ag_lookup.json	final_elision_mark	παῖδα’	παῖ’
AG	ag_lookup.json	final_elision_mark	πορφύρεοσ’	πορφύρεοσ’
AG	ag_lookup.json	final_elision_mark	ποώποτ’	ποώποτ’
AG	ag_lookup.json	final_elision_mark	τοῖνδ’	τόνδ’
AG	ag_lookup.json	final_elision_mark	τοῖσιδ’	τόσιδ’
AG	ag_lookup.json	final_elision_mark	τ᾽	τ᾽
AG	ag_lookup.json	final_elision_mark	τ᾿	τ᾿
AG	ag_lookup.json	final_elision_mark	φ̓	φ᾽
AG	ag_lookup.json	final_elision_mark	ἀλλαιχ’	ἀλλαιχ’
AG	ag_lookup.json	final_elision_mark	αλλ᾽	ἀλλ᾽
AG	ag_lookup.json	final_elision_mark	ἀλλ᾽	ἀλλ᾽
AG	ag_lookup.json	final_elision_mark	ἀμελεῖν’	ἀμελεῖν’
AG	ag_lookup.json	final_elision_mark	ἀπῶσαι’	ἀπῶσαι’
AG	ag_lookup.json	final_elision_mark	άρ᾿	ἄρ᾿
AG	ag_lookup.json	final_elision_mark	αρ᾿	ἄρ᾿
AG	ag_lookup.json	final_elision_mark	ἄρ᾿	ἄρ᾿
AG	ag_lookup.json	final_elision_mark	Αθήναζ᾽	Ἀθήναζ᾽
AG	ag_lookup.json	final_elision_mark	αθήναζ᾽	Ἀθήναζ᾽
AG	ag_lookup.json	final_elision_mark	αθηναζ᾽	Ἀθήναζ᾽
AG	ag_lookup.json	final_elision_mark	ἀθήναζ᾽	Ἀθήναζ᾽
AG	ag_lookup.json	final_elision_mark	Ἀθήναζ᾽	Ἀθήναζ᾽
AG	ag_lookup.json	final_elision_mark	ὦμαθέστατ’	ἐμάθεστατ’
AG	ag_lookup.json	final_elision_mark	ἐνγεταῦθ’	ἐνγεταῦθ’
AG	ag_lookup.json	final_elision_mark	επ᾽	ἐπ᾽
AG	ag_lookup.json	final_elision_mark	ἐπ᾽	ἐπ᾽
AG	ag_lookup.json	final_elision_mark	ὦταῖρ’	ἐτάῖρ’
AG	ag_lookup.json	final_elision_mark	ἐἴτ’	ἐἴτ’
AG	ag_lookup.json	final_elision_mark	ἑφ’	ἑφ’
AG	ag_lookup.json	final_elision_mark	ἧττον’	ἧττον’
AG	ag_lookup.json	final_elision_mark	Ἵπταμ’	Ἵπταμ’
AG	ag_lookup.json	final_elision_mark	ὥ’	ὣ’
AG	ag_lookup.json	final_elision_mark	τῷῦ	ῷ᾽
AG	ag_lookup.json	final_elision_mark	–⏑–––⏑ὑφ’	–⏑–––⏑ὑφ’
AG	ag_lookup.json	final_keraia_or_prime	βᾱ	βαʹ
AG	ag_lookup.json	final_keraia_or_prime	βραχυπότ	βραχυπότʹ
AG	ag_lookup.json	final_keraia_or_prime	γέατ	γέατʹ
AG	ag_lookup.json	final_keraia_or_prime	γῳ	γῳʹ
AG	ag_lookup.json	final_keraia_or_prime	δὲκζʹ	δέκζʹ
AG	ag_lookup.json	final_keraia_or_prime	διὰμ	διάμʹ
AG	ag_lookup.json	final_keraia_or_prime	διαφώ	διαφώʹ
AG	ag_lookup.json	final_keraia_or_prime	δισεπιτρίτοις	δισεπιτρίτοιςʹ
AG	ag_lookup.json	final_keraia_or_prime	ηψῑᾱ	ηψιαʹ
AG	ag_lookup.json	final_keraia_or_prime	ηῳ	ηῳʹ
AG	ag_lookup.json	final_keraia_or_prime	ῑῡ	ιυʹ
AG	ag_lookup.json	final_keraia_or_prime	κδέ	κδέʹ
AG	ag_lookup.json	final_keraia_or_prime	μέλανοσʹ	μέλανοςʹ
AG	ag_lookup.json	final_keraia_or_prime	μῃʹ	μῃʹ
AG	ag_lookup.json	final_keraia_or_prime	πεντακαίδεκα	πεντακαίδεκαʹ
AG	ag_lookup.json	final_keraia_or_prime	πεντεκαιπεντήκοντα	πεντεκαιπεντήκονταʹ
AG	ag_lookup.json	final_keraia_or_prime	πεντεκαιτριήκοντα	πεντεκαιτριήκονταʹ
AG	ag_lookup.json	final_keraia_or_prime	ροῦς	ροῦςʹ
AG	ag_lookup.json	final_keraia_or_prime	τέσσαράκονθ’	τέσσαρακονθʹ
AG	ag_lookup.json	final_keraia_or_prime	τέσσαρος	τέσσαροςʹ
AG	ag_lookup.json	final_keraia_or_prime	τέσσαρσυ	τέσσαρσυʹ
AG	ag_lookup.json	final_keraia_or_prime	τὴμ	τήμʹ
AG	ag_lookup.json	final_keraia_or_prime	ταραχῶδ	ταραχῶδʹ
AG	ag_lookup.json	final_keraia_or_prime	τεσαράκοντα	τεσαράκονταʹ
AG	ag_lookup.json	final_keraia_or_prime	τεσσαράκ	τεσσαράκʹ
AG	ag_lookup.json	final_keraia_or_prime	τεσσαρακοντούτεες	τεσσαρακοντούτεεςʹ
AG	ag_lookup.json	final_keraia_or_prime	τεσσαρεσκαίδσκα	τεσσαρεσκαίδσκαʹ
AG	ag_lookup.json	final_keraia_or_prime	τεσσαρεσκαιδεκά	τεσσαρεσκαιδεκάʹ
AG	ag_lookup.json	final_keraia_or_prime	τεσσράκοντα	τεσσράκονταʹ
AG	ag_lookup.json	final_keraia_or_prime	τργώνοις	τργώνοιςʹ
AG	ag_lookup.json	final_keraia_or_prime	τριακονταὲξ	τριακονταέξʹ
AG	ag_lookup.json	final_keraia_or_prime	τριακονταοκτὼ	τριακονταοκτώʹ
AG	ag_lookup.json	final_keraia_or_prime	τριηκοσταίοις	τριηκοσταίοιςʹ
AG	ag_lookup.json	final_keraia_or_prime	τῇσ͵ʹ	τῇσ͵ʹ
AG	ag_lookup.json	final_keraia_or_prime	ωϚᾱ	ωϚαʹ
AG	ag_lookup.json	final_keraia_or_prime	ϋ	ϋʹ
AG	ag_lookup.json	final_keraia_or_prime	ϋκ	ϋκʹ
AG	ag_lookup.json	final_keraia_or_prime	Ϛʹκύκλου	Ϛʹκύκλουʹ
AG	ag_lookup.json	final_keraia_or_prime	Ϛᾱ	Ϛαʹ
AG	ag_lookup.json	final_keraia_or_prime	ϚϚέί	ϚϚέιʹ
AG	ag_lookup.json	final_keraia_or_prime	ἁλικακκ	ἁλικακκʹ
AG	ag_lookup.json	final_keraia_or_prime	εἰʹ	ἐʹ
AG	ag_lookup.json	final_keraia_or_prime	ἐὰβ	ἐάβʹ
AG	ag_lookup.json	final_keraia_or_prime	ἐνενηκονταοκτώ	ἐνενηκονταοκτώʹ
AG	ag_lookup.json	final_keraia_or_prime	ἐξηκονταὲξ	ἐξηκονταέξʹ
AG	ag_lookup.json	final_keraia_or_prime	ἐπʹ	ἐπʹ
AG	ag_lookup.json	final_keraia_or_prime	ἑβδο	ἑβδοʹ
AG	ag_lookup.json	final_keraia_or_prime	ἑβδομήκονταδύο	ἑβδομήκονταδυοʹ
AG	ag_lookup.json	final_keraia_or_prime	ἑβδομηκοντατρεῖς	ἑβδομηκοντατρεῖςʹ
AG	ag_lookup.json	final_keraia_or_prime	ἑκκαιδέκα	ἑκκαιδέκαʹ
AG	ag_lookup.json	final_keraia_or_prime	ἑνοσκαίδεκα	ἑνοσκαίδεκαʹ
AG	ag_lookup.json	final_keraia_or_prime	ἑξηκονταὲξ	ἑξηκονταέξʹ
AG	ag_lookup.json	final_keraia_or_prime	ἑξηκονταοκτὼ	ἑξηκονταοκτώʹ
AG	ag_lookup.json	final_keraia_or_prime	ἑπτακαιδεκαέτη	ἑπτακαιδεκαέτηʹ
AG	ag_lookup.json	final_keraia_or_prime	ὀγδοηκονταοκτὼ	ὀγδοηκονταοκτώʹ
AG	ag_lookup.json	final_keraia_or_prime	ὀκτωʹ	ὀκτωʹ
AG	ag_lookup.json	final_keraia_or_prime	ὁδῖν	ὁδῖνʹ
AG	ag_lookup.json	final_keraia_or_prime	ὁλκὴνδύο	ὁλκήνδυοʹ
AG	ag_lookup.json	final_keraia_or_prime	ὁλκῆσ͵	ὁλκῆσ͵ʹ
AG	ag_lookup.json	final_keraia_or_prime	ὑιοσο	ὑιοσοʹ
AG	ag_lookup.json	final_keraia_or_prime	ὑπʹ	ὑπʹ
AG	ag_lookup.json	final_keraia_or_prime	ὑποκενώσανταʹ	ὑποκενώσανταʹ
AG	ag_lookup.json	final_keraia_or_prime	ὧβ	ὧβʹ
AG	ag_lookup.json	final_keraia_or_prime	ᾱρν	ᾱρνʹ
AG	ag_lookup.json	final_keraia_or_prime	ᾱρνβ	ᾱρνβʹ
AG	ag_lookup.json	final_keraia_or_prime	ᾱτϚᾱ	ᾱτϚαʹ
AG	ag_lookup.json	final_keraia_or_prime	ᾱψᾱ	ᾱψαʹ
AG	ag_lookup.json	final_keraia_or_prime	ᾱω	ᾱωʹ
AG	ag_lookup.json	final_keraia_or_prime	ῃωʹ	ῃωʹ
AG	ag_lookup.json	final_keraia_or_prime	ῡκᾱ	ῡκαʹ
AG	ag_lookup.json	final_keraia_or_prime	ῡνϛ	ῡνϛʹ
AG	ag_lookup.json	final_keraia_or_prime	ῡξη	ῡξηʹ
AG	ag_lookup.json	leading_combining	λέοντων	́ονλετες
AG	ag_lookup.json	leading_combining	ἔπλευν	́πολω
AG	ag_lookup.json	leading_combining	ἔρδης	́ρδω
AG	ag_lookup.json	leading_combining	ἔρρευν	́ρορω
AG	ag_lookup.json	nonlexical_symbol	᾽	᾽
AG	ag_lookup.json	orphaned_tonal_mark	Ῥυτίνῳ	*ʽ ́ρυτινον
AG	ag_lookup.json	orphaned_tonal_mark	·δοὺς	·́δωμι
AG	ag_lookup.json	orphaned_tonal_mark	·τούτων	·τ́ουτον
AG	ag_lookup.json	orphaned_tonal_mark	Βαρκός	Βαρ́ξ
AG	ag_lookup.json	orphaned_tonal_mark	Βετολίω	Βετολ͂ͅον
AG	ag_lookup.json	orphaned_tonal_mark	Γράσσης	Γ́ρασσα
AG	ag_lookup.json	orphaned_tonal_mark	Γράσσῃ	Γ́ρασσα
AG	ag_lookup.json	orphaned_tonal_mark	Γαυνί	Γαυν́ς
AG	ag_lookup.json	orphaned_tonal_mark	Γηρσωνὶ	Γηησων́ς
AG	ag_lookup.json	orphaned_tonal_mark	Διερρωγότα	Διερρ́οωγε
AG	ag_lookup.json	orphaned_tonal_mark	Διοσπόλεως	Διοσ́πολις
AG	ag_lookup.json	orphaned_tonal_mark	Δορυκλείους	Δορυκλ́ειος
AG	ag_lookup.json	orphaned_tonal_mark	Θεττάλην	Θετ̈́ταλος
AG	ag_lookup.json	orphaned_tonal_mark	Καβήλεω	Καβ́λης
AG	ag_lookup.json	orphaned_tonal_mark	Κικερωνείων	Κικερ́ωνις
AG	ag_lookup.json	orphaned_tonal_mark	Κιμβρίων	Κιμβ́ριος
AG	ag_lookup.json	orphaned_tonal_mark	Κλαύσῳ	Κλ́σαυσος
AG	ag_lookup.json	orphaned_tonal_mark	Κορίλλῃ	Κοριλ ́λα
AG	ag_lookup.json	orphaned_tonal_mark	Κυπέως	Κυπ͂ος
AG	ag_lookup.json	orphaned_tonal_mark	Λασθένειά	Λασθέ ́νεια
AG	ag_lookup.json	orphaned_tonal_mark	Λημνιάδεσσιν	Λημν́ιαυς
AG	ag_lookup.json	orphaned_tonal_mark	Λυγγὶ	Λυγ́ξ
AG	ag_lookup.json	orphaned_tonal_mark	Λυγγὸς	Λυγ́ξ
AG	ag_lookup.json	orphaned_tonal_mark	Μακεδονικαὶ	Μακεδ ́νιος
AG	ag_lookup.json	orphaned_tonal_mark	Μακεδονικὰς	Μακεδ́νιος
AG	ag_lookup.json	orphaned_tonal_mark	Μήιον	Μῃ ́ων
AG	ag_lookup.json	orphaned_tonal_mark	Πετράχου	Π́ετραχος
AG	ag_lookup.json	orphaned_tonal_mark	Πάμφω	Παμφ́ας
AG	ag_lookup.json	orphaned_tonal_mark	Παρσίους	Παρ́σιος
AG	ag_lookup.json	orphaned_tonal_mark	Πνθέου	Πνν́θεος
AG	ag_lookup.json	orphaned_tonal_mark	Πρώνακτι	Πρῶ ́ναξ
AG	ag_lookup.json	orphaned_tonal_mark	Ῥήου	Ρ̓́ηος
AG	ag_lookup.json	orphaned_tonal_mark	Σθένιδος	Σ́θενις
AG	ag_lookup.json	orphaned_tonal_mark	Σκαμανδρίαις	Σκαμαν́δριος
AG	ag_lookup.json	orphaned_tonal_mark	Τρόχου	Τ́ροχος
AG	ag_lookup.json	orphaned_tonal_mark	Ταρβήλοιο	Ταρ̈́βηλος
AG	ag_lookup.json	orphaned_tonal_mark	Τετρίκου	Τετ́ρικος
AG	ag_lookup.json	orphaned_tonal_mark	Τηλεφαάσσῃ	Τηλεφ́αασσα
AG	ag_lookup.json	orphaned_tonal_mark	Τιγγὸς	Τιγ́ξ
AG	ag_lookup.json	orphaned_tonal_mark	Φράτερσιν	Φ́ρατερ
AG	ag_lookup.json	orphaned_tonal_mark	Φραδασμένης	Φρ́γαδασμαι
AG	ag_lookup.json	orphaned_tonal_mark	Χεροννήσοιο	Χερον̈́νησος
AG	ag_lookup.json	orphaned_tonal_mark	αγλώσσης	αγ́λωσσα
AG	ag_lookup.json	orphaned_tonal_mark	αιτοῖς	αιτοῖες͂ς
AG	ag_lookup.json	orphaned_tonal_mark	αἰσθανθέντας	αἰσθαν́ͅζω
AG	ag_lookup.json	orphaned_tonal_mark	αἰσχυνθῆς	αἰσχυν́ςζω
AG	ag_lookup.json	orphaned_tonal_mark	αἴτημί	αἰτμ́ω
AG	ag_lookup.json	orphaned_tonal_mark	αὐτη-	αὐτηε-͂ς
AG	ag_lookup.json	orphaned_tonal_mark	βδελυττόμεναι	βδελυττ́ω
AG	ag_lookup.json	orphaned_tonal_mark	ἔβλπτον	βλπτ́ω
AG	ag_lookup.json	orphaned_tonal_mark	βοηθήμα	βοηθεμ͂ος
AG	ag_lookup.json	orphaned_tonal_mark	βοσκησεῖσθε	βοσκησ́ζομαι
AG	ag_lookup.json	orphaned_tonal_mark	βροτῖσιν	βροτ́ς
AG	ag_lookup.json	orphaned_tonal_mark	βσρειότερος	βσρ͂ειος
AG	ag_lookup.json	orphaned_tonal_mark	γνομένη	γ́λνυμι
AG	ag_lookup.json	orphaned_tonal_mark	γνόμενον	γ́νω
AG	ag_lookup.json	orphaned_tonal_mark	γμένα	γ́ω
AG	ag_lookup.json	orphaned_tonal_mark	ἔγρυπεν	γ̔υπ́ω
AG	ag_lookup.json	orphaned_tonal_mark	γαννύμενοι	γαν́νυμαι
AG	ag_lookup.json	orphaned_tonal_mark	γαννύμενος	γαν́νυμαι
AG	ag_lookup.json	orphaned_tonal_mark	γεγλωσσάμενον	γεγλωσ́ομαι
AG	ag_lookup.json	orphaned_tonal_mark	γεννητρίους	γεννητ́ριος
AG	ag_lookup.json	orphaned_tonal_mark	γαγέ	γηγ́υμι
AG	ag_lookup.json	orphaned_tonal_mark	ἔδνα	γιδ́σνω
AG	ag_lookup.json	orphaned_tonal_mark	ἐμφυὼς	γιμφ́συω
AG	ag_lookup.json	orphaned_tonal_mark	γένγται	γινγ́σκω
AG	ag_lookup.json	orphaned_tonal_mark	γοητότερον	γοετ͂ος
AG	ag_lookup.json	orphaned_tonal_mark	γονέναι	γον́ημι
AG	ag_lookup.json	orphaned_tonal_mark	γορέναι	γορ̈́ημι
AG	ag_lookup.json	orphaned_tonal_mark	ἐδείδιε	δεδ́ιω
AG	ag_lookup.json	orphaned_tonal_mark	δερδέσκετο	δερ́δω
AG	ag_lookup.json	orphaned_tonal_mark	δηχθέντις	δηχ́ομιι
AG	ag_lookup.json	orphaned_tonal_mark	διαγωνιδάμενοι	διαγων́δημι
AG	ag_lookup.json	orphaned_tonal_mark	διακίγκλισον	διακιγκλ́λσω
AG	ag_lookup.json	orphaned_tonal_mark	διασφαγί	διασφαγ́ς
AG	ag_lookup.json	orphaned_tonal_mark	διέτρι	διατρ́ω
AG	ag_lookup.json	orphaned_tonal_mark	διατρώσεων	διατρ́ωνις
AG	ag_lookup.json	orphaned_tonal_mark	διαφυμγόντες	διαφυεμ́γω
AG	ag_lookup.json	orphaned_tonal_mark	δεδιδαγμένην	διδαγ́ω
AG	ag_lookup.json	orphaned_tonal_mark	διελίπαμεν	διελλ́γω
AG	ag_lookup.json	orphaned_tonal_mark	διεμένουσα	διεμεπ́ω
AG	ag_lookup.json	orphaned_tonal_mark	διεξεσμένα	διεξσ́ημι
AG	ag_lookup.json	orphaned_tonal_mark	διεσταμμένον	διεσ́λμω
AG	ag_lookup.json	orphaned_tonal_mark	διηγῖσθαι	διηγ́ω
AG	ag_lookup.json	orphaned_tonal_mark	διηγερμένος	διηγρ́ημι
AG	ag_lookup.json	orphaned_tonal_mark	διηθηείη	διηθ́ηνυμι
AG	ag_lookup.json	orphaned_tonal_mark	δέσνται	δισ́ͅσκω
AG	ag_lookup.json	orphaned_tonal_mark	δισθερμανθείσης	δισθερμαν́ͅζω
AG	ag_lookup.json	orphaned_tonal_mark	δνχθέντας	δν́γω
AG	ag_lookup.json	orphaned_tonal_mark	ἔνδοδεν	δοδ́νω
AG	ag_lookup.json	orphaned_tonal_mark	δορυκτήτη	δορυκ́τητος
AG	ag_lookup.json	orphaned_tonal_mark	δῦνων	δυπ͂ω
AG	ag_lookup.json	orphaned_tonal_mark	δυσπνουστέρους	δυσ́πνους
AG	ag_lookup.json	orphaned_tonal_mark	δυσκενότατός	δυσκ͂ενος
AG	ag_lookup.json	orphaned_tonal_mark	δυσπαρισώτους	δυσπαρ́σωτος
AG	ag_lookup.json	orphaned_tonal_mark	εταγμένῃ	ετ́γαγμαι
AG	ag_lookup.json	orphaned_tonal_mark	εἴρητκι	εἰρκ́νω
AG	ag_lookup.json	orphaned_tonal_mark	εἰσέλθης	εἰσ́λημι
AG	ag_lookup.json	orphaned_tonal_mark	εἱλκωμένους	εἱλ́χωμαι
AG	ag_lookup.json	orphaned_tonal_mark	εὔγλαγον	εὐγλαγ́α
AG	ag_lookup.json	orphaned_tonal_mark	εὐδαιμοβεστάταις	εὐδαιμοβεσ́ς
AG	ag_lookup.json	orphaned_tonal_mark	εὐθυνκέναι	εὐθυνκ́ημι
AG	ag_lookup.json	orphaned_tonal_mark	εὐκράσεως	εὐκ́ρασις
AG	ag_lookup.json	orphaned_tonal_mark	εὐρουστέρου	εὐρουσ́ς
AG	ag_lookup.json	orphaned_tonal_mark	εὐφορέστερά	εὐφορ͂ος
AG	ag_lookup.json	orphaned_tonal_mark	ζωργηθέντες	ζωρ́γω
AG	ag_lookup.json	orphaned_tonal_mark	θατέρας	θ͂ας
AG	ag_lookup.json	orphaned_tonal_mark	θερμῄνειεν	θαιρ́ͅνειομαι
AG	ag_lookup.json	orphaned_tonal_mark	θεἰμαρμένον	θιἰμαρ́ͅσκω
AG	ag_lookup.json	orphaned_tonal_mark	θλιφθείσης	θλ́ιπω
AG	ag_lookup.json	orphaned_tonal_mark	ἔθλασσεν	θλασ́θω
AG	ag_lookup.json	orphaned_tonal_mark	θλιβέντων	θλιβ́ημι
AG	ag_lookup.json	orphaned_tonal_mark	θλιφθέντ’	θλιφ́ͅζω
AG	ag_lookup.json	orphaned_tonal_mark	καταπιανθεῖσα	καθαπιαν́ω
AG	ag_lookup.json	orphaned_tonal_mark	καθειργμένη	καθειργ́ννυμι
AG	ag_lookup.json	orphaned_tonal_mark	ἐκάθῃρεν	καθῃρ́σκω
AG	ag_lookup.json	orphaned_tonal_mark	κακατείναντα	κακ́-ἀτείνω
AG	ag_lookup.json	orphaned_tonal_mark	κακηγορίστατος	κακηγ́ορης
AG	ag_lookup.json	orphaned_tonal_mark	καπφθιμένου	καπφθ́ζομαι
AG	ag_lookup.json	orphaned_tonal_mark	καταβρογχίζοντι	καταβρογχ́ͅζω
AG	ag_lookup.json	orphaned_tonal_mark	καταγινώκομεν	καταγινωκμ́σκω
AG	ag_lookup.json	orphaned_tonal_mark	καταδαρθέντες	καταδαρ́ͅζω
AG	ag_lookup.json	orphaned_tonal_mark	κατέκτας	κατακτ́ω
AG	ag_lookup.json	orphaned_tonal_mark	καταλημφθήσονται	καταλημφ́ͅζω
AG	ag_lookup.json	orphaned_tonal_mark	καταξηραινό	καταξηραιν́υμι
AG	ag_lookup.json	orphaned_tonal_mark	καταρ’ρ’ηγνύμενα	καταρ’ρ’ηγ́νυμαι
AG	ag_lookup.json	orphaned_tonal_mark	κατεληλεσμένους	κατεληλσ́ημι
AG	ag_lookup.json	orphaned_tonal_mark	κατολισθημάτων	κατολισθ͂ημα
AG	ag_lookup.json	orphaned_tonal_mark	κατορθωκότα	κατορθ́οωκε
AG	ag_lookup.json	orphaned_tonal_mark	κεκαθαρμένοισιν	κεκαθ́αρμαι
AG	ag_lookup.json	orphaned_tonal_mark	κεροῦσσ’	κενρσ́’ω
AG	ag_lookup.json	orphaned_tonal_mark	κεχαρισμενωτέραν	κεχαρισμεν́ος
AG	ag_lookup.json	orphaned_tonal_mark	κινδυνοδέστερα	κινδυνοδ͂ος
AG	ag_lookup.json	orphaned_tonal_mark	κέχρῳσμαι	κιχρῳσ́ͅσκω
AG	ag_lookup.json	orphaned_tonal_mark	κεκαθαρμένῃ	κκ́γαθαρμαι
AG	ag_lookup.json	orphaned_tonal_mark	ἐκκεκαθαρμένοι	κκεκαθαρ́ω
AG	ag_lookup.json	orphaned_tonal_mark	ἐκκεκαθαρμένους	κκεκαθαρ́ω
AG	ag_lookup.json	orphaned_tonal_mark	κοινωνεῖα	κοινωιμ͂αμι
AG	ag_lookup.json	orphaned_tonal_mark	κολοπτέρους	κολοπ́ς
AG	ag_lookup.json	orphaned_tonal_mark	κυστέως	κυστ͂ος
AG	ag_lookup.json	orphaned_tonal_mark	κἠλειφόμην	κἠλειφ́μσκομαι
AG	ag_lookup.json	orphaned_tonal_mark	λαβόμεν	λά-β́μεͅσκω
AG	ag_lookup.json	orphaned_tonal_mark	λαγνιστάτην	λαγ͂νισς
AG	ag_lookup.json	orphaned_tonal_mark	λαγνιστάτας	λαγνισ́ς
AG	ag_lookup.json	orphaned_tonal_mark	λαγνιστάτῳ	λαγνισ́ς
AG	ag_lookup.json	orphaned_tonal_mark	ἐργασό	λγασογ́
AG	ag_lookup.json	orphaned_tonal_mark	λεανθέντες	λεαν́ͅζω
AG	ag_lookup.json	orphaned_tonal_mark	λεανθεῖσαν	λεαν́ͅζω
AG	ag_lookup.json	orphaned_tonal_mark	λεανθείσῃ	λεαν́ω
AG	ag_lookup.json	orphaned_tonal_mark	ἐλέγξα	λεγ́σσω
AG	ag_lookup.json	orphaned_tonal_mark	λέγετι	λεγετ́ρχομαι
AG	ag_lookup.json	orphaned_tonal_mark	λειανθέντες	λειαν́ͅζω
AG	ag_lookup.json	orphaned_tonal_mark	λειανθεῖσαν	λειαν́ͅζω
AG	ag_lookup.json	orphaned_tonal_mark	λειμακεστέροισί	λειμακεσ́ς
AG	ag_lookup.json	orphaned_tonal_mark	λευκανθεῖσαν	λευκαν́ͅζω
AG	ag_lookup.json	orphaned_tonal_mark	λημφθέν	λημ́πτω
